DATE,CSUSHPISA
9/1/2017,193.786
10/1/2017,194.778
11/1/2017,195.866
12/1/2017,197.044
1/1/2018,198.201
2/1/2018,199.184
3/1/2018,200.038
4/1/2018,200.876
5/1/2018,201.646
6/1/2018,202.345
7/1/2018,203.015
8/1/2018,203.783
9/1/2018,204.366
10/1/2018,205.017
11/1/2018,205.464
12/1/2018,205.867
1/1/2019,206.266
2/1/2019,206.712
3/1/2019,207.202
4/1/2019,207.941
5/1/2019,208.58
6/1/2019,208.947
7/1/2019,209.496
8/1/2019,210.231
9/1/2019,210.911
10/1/2019,211.598
11/1/2019,212.446
12/1/2019,213.434
1/1/2020,214.49
2/1/2020,215.549
3/1/2020,216.602
4/1/2020,217.464
5/1/2020,217.689
6/1/2020,218.139
7/1/2020,219.702
8/1/2020,222.539
9/1/2020,225.793
10/1/2020,229.403
11/1/2020,232.673
12/1/2020,235.7
1/1/2021,238.784
2/1/2021,241.845
3/1/2021,245.796
4/1/2021,250.094
5/1/2021,254.556
6/1/2021,259.249
7/1/2021,263.349
8/1/2021,267.028
9/1/2021,270.258
10/1/2021,273.154
11/1/2021,276.429
12/1/2021,280.19
1/1/2022,284.767
2/1/2022,290.371
3/1/2022,296.496
4/1/2022,301.704
5/1/2022,304.831
